Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Endocytosis_Homo sapiens_hsa04144,180/259,7.099081423221504e-29,2.080030857003901e-26,0,0,1.9513707566494316,126.47810007679712,VPS29;SH3GL3;TFRC;ZFYVE9;WIPF1;WIPF2;WIPF3;ARPC5L;CBLB;ZFYVE27;KIF5C;KIF5B;KIF5A;VPS35;SH3GL2;AP2M1;SH3GL1;SH3GLB1;SH3GLB2;USP8;PDGFRA;PRKCI;IST1;F2R;HLA-C;HLA-A;RUFY1;ACAP3;ACAP2;ZFYVE16;RAB31;BIN1;HGS;PARD3;CHMP4B;CHMP4A;AMPH;STAMBP;VPS28;CSF1R;RAB5B;RAB5C;TSG101;AGAP2;NEDD4L;AGAP1;VPS26A;ADRB1;VPS26B;AGAP3;ADRB2;PLD1;PLD2;SNX3;SNX4;SNX1;RAB11FIP1;SNX2;GRK5;PIP5K1A;PIP5K1B;PIP5K1C;RAB11FIP2;RAB11FIP3;SNX5;RAB11FIP5;SNX6;HSPA8;IQSEC2;SMURF2;IQSEC1;CAV2;VTA1;CAV1;IQSEC3;HSPA6;STAM;HSPA2;IGF2R;EHD1;EHD2;EHD3;DAB2;EHD4;ARPC2;CHMP2B;CHMP2A;RAB5A;FGFR3;FGFR2;RET;FLT1;SH3KBP1;ARPC1B;ARPC1A;CLTC;CLTB;SNX12;CLTA;AP2A1;ARRB1;WASL;ARRB2;AP2A2;EEA1;CAPZB;PSD2;PIP5KL1;PSD4;PSD3;LDLRAP1;RAB8A;GIT1;PSD;PDCD6IP;ARAP2;VPS37D;ARAP3;VPS37A;EPS15L1;VPS37B;ARAP1;ARFGAP3;ARFGAP1;DNM1;TGFBR1;EPN1;ARFGAP2;DNM2;EPN2;DNM3;EPN3;RABEP1;DNAJC6;TRAF6;KIT;CHMP3;CHMP6;CHMP7;MET;RAB7A;CHMP5;SRC;VPS4B;VPS4A;WAS;ASAP3;CXCR4;PARD6G;ASAP1;ASAP2;CBL;EGFR;CYTH2;PARD6B;PARD6A;ERBB3;ERBB4;MVB12B;MVB12A;EPS15;CYTH1;ARFGEF1;GIT2;ARFGEF2;GBF1;WWP1;AP2B1;RAB11A;PML;RAB11B;RAB10;ITCH;NEDD4;CAPZA1;CAPZA2;VPS45;SMAP2;SMAP1;HSPA1A,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,162/255,7.476780135344821e-20,1.0953482898280163e-17,0,0,1.783782444607774,78.55759981115088,ATF2;FGF1;ELK1;FGF2;CRKL;ELK4;RPS6KA4;RPS6KA3;RPS6KA5;MYC;AKT2;RPS6KA2;AKT3;STMN1;RPS6KA1;AKT1;MAP3K8;PRKACA;MAP3K6;PRKACB;MAP3K7;MAP3K4;MAP3K5;PRKCG;PDGFRB;MAP2K3;PDGFRA;MAP2K4;DAXX;MEF2C;MAP2K1;MAP2K2;PRKCB;PRKCA;MAPK8IP2;MAPK8IP3;MAPK8IP1;CDC25B;CACNB1;CACNB2;CACNB3;CACNB4;MAPKAPK3;MAPKAPK2;MAPKAPK5;RAF1;TP53;CACNA1B;CACNA1A;CACNA1D;CACNA1C;NLK;RASGRP2;STK4;CACNA1E;RASGRP1;RASGRP4;CACNA1H;CACNA1G;RASGRP3;STK3;RAP1B;RRAS;MAP2K7;MAP2K6;HSPA8;JUN;JUND;HSPA6;NFATC3;NFATC1;BRAF;HSPA2;GNG12;NFKB1;NFKB2;FGF14;NF1;GRB2;TAB2;TAB1;FGF13;MAP3K13;FGFR3;FGF12;MAP3K11;FGFR2;FGFR1;MAP3K12;PTPRR;RASGRF2;RASGRF1;HSPB1;ARRB1;ARRB2;DUSP16;IKBKB;PPP3CA;PPP3CB;PPP3CC;MECOM;CASP3;RAC1;IKBKG;DUSP4;MAP4K1;MAP4K2;CHUK;PLA2G4C;RRAS2;PLA2G4A;DUSP9;DUSP6;TGFBR1;PPM1A;PPM1B;TRAF6;RASA1;RASA2;RAPGEF2;MAPT;SOS1;SOS2;CRK;SRF;RELA;EGFR;RELB;CACNG7;MAPK9;PAK1;CACNG8;MAPK7;MKNK1;MKNK2;GNA12;FLNA;MAPK1;FLNB;FLNC;CACNG2;PAK2;CACNG3;MAP4K3;CACNG4;MAP4K4;MAPK3;CACNG5;MAP3K2;MAP3K3;NTRK2;MAP3K1;MAPK14;MAPK12;MAPK11;TAOK3;TAOK1;TAOK2;FAS;PTPN7;PTPN5;HSPA1A,KEGG_2016
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666,72/93,1.8747240322908103e-16,1.8309804715373583e-14,0,0,2.173785057944958,78.71906097288048,NCF1;ARPC1B;ARPC1A;ARPC5L;INPPL1;PIK3CD;WASL;PIK3CG;CRKL;CFL2;AKT2;AKT3;CFL1;AKT1;RAC1;VAV3;PRKCG;MAP2K1;SYK;SPHK2;PRKCB;PRKCE;PRKCD;PLA2G4A;PRKCA;GAB2;VAV1;VAV2;DNM2;HCK;PIK3CA;BIN1;AMPH;DOCK2;RAF1;CRK;ASAP3;WAS;PIK3R2;ASAP1;ASAP2;PIK3R1;PLD1;PLA2G6;PIK3R5;PLD2;PAK1;SCIN;INPP5D;PIP5K1A;MAPK1;PIP5K1B;PLCG1;PIP5K1C;WASF1;FCGR1A;WASF2;WASF3;MAPK3;LYN;VASP;MARCKSL1;GSN;MYO10;LIMK2;LIMK1;MARCKS;PTPRC;RPS6KB1;ARPC2;FCGR2B;LAT,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,97/139,2.1802663001028803e-16,1.5970450648253597e-14,0,0,1.9594039775900745,70.6598586374407,IRS1;INPPL1;ARAF;CBLB;IRS2;ELK1;CRKL;PPP1CB;PPP1CC;LIPE;AKT2;AKT3;AKT1;PRKACA;PRKACB;PRKAB2;PRKCI;MAP2K1;MAP2K2;RPS6;TSC2;TSC1;PHKA1;PRKAB1;PHKA2;PPP1R3F;PPP1R3C;PRKAR1B;PRKAR1A;PPP1R3E;PPP1R3D;RAF1;SHC4;SHC2;SHC3;SHC1;PIK3R2;PIK3R1;ACACB;FOXO1;ACACA;PIK3R5;PRKAR2B;PRKAR2A;EIF4EBP1;PCK2;INSR;PHKB;BRAF;RHEB;FASN;GRB2;CALM2;GSK3B;PYGB;PDE3B;PRKAG2;PIK3CD;SLC2A4;PYGL;PTPRF;HK2;PRKAG3;PIK3CG;HK1;IKBKB;RPTOR;GYS1;FLOT1;FLOT2;SREBF1;EXOC7;PDPK1;PIK3CA;RAPGEF1;EIF4E2;SOS1;SOS2;CRK;PRKAA1;PRKAA2;CBL;MAPK9;MKNK1;MKNK2;MAPK1;EIF4E;SH2B2;MAPK3;PTPN1;PKLR;BAD;SORBS1;MTOR;PPP1CA;RPS6KB1;TRIP10,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,86/120,8.429999316659893e-16,4.9399795995626973e-14,0,0,2.012260751555992,69.84469494449499,YWHAE;GSK3B;PRDM4;IRS1;PIK3CD;PIK3CG;CRKL;IKBKB;RPS6KA3;RPS6KA5;AKT2;ARHGDIA;RPS6KA2;AKT3;RPS6KA1;ARHGDIB;AKT1;RAC1;MAP3K5;MAP2K1;MAP2K2;RIPK2;PDPK1;PRKCD;MATK;GAB1;FRS2;IRAK3;PIK3CA;TRAF6;MAPKAPK2;RAPGEF1;RAF1;SOS1;TP53;SOS2;CRK;SHC4;CAMK2B;SHC2;CAMK2D;SHC3;MAGED1;SHC1;CAMK2A;PSEN2;PIK3R2;PIK3R1;PSEN1;FOXO3;RELA;PIK3R5;RAP1B;MAPK9;MAPK7;IRAK1;IRAK2;ABL1;MAPK1;PLCG1;MAP2K7;SH2B3;CAMK2G;SH2B2;SH2B1;MAPK3;NGFR;MAP3K3;NTRK2;JUN;MAP3K1;BAD;SORT1;KIDINS220;NTRK3;BRAF;PTPN11;MAPK14;NFKB1;MAPK12;MAPK11;CAMK4;GRB2;NFKBIE;CALM2;NFKBIB,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,83/118,1.5348265248852284e-14,7.495069529856197e-13,0,0,1.9749819753151048,62.81978020712436,GSK3B;THRA;SLC2A1;PIK3CD;ATP2A2;MED16;PIK3CG;MED17;MED12;CASP9;MED14;MED13;SIN3A;MYC;AKT2;AKT3;AKT1;PLCE1;EP300;SLC16A2;PRKACA;PRKACB;PRKCG;NCOA1;MED1;NCOA2;MAP2K1;MAP2K2;PRKCB;PDPK1;NCOA3;ATP1B4;TSC2;PRKCA;ATP1B2;MED4;ATP1B1;KAT2B;PLCB3;MED24;NCOR1;PIK3CA;TBC1D4;RAF1;PLCB1;TP53;PLCB2;PFKFB2;NOTCH2;NOTCH3;HDAC2;NOTCH1;SRC;HDAC1;ATP1A3;GATA4;PIK3R2;ATP1A2;PIK3R1;ATP1A1;HIF1A;FOXO1;MED12L;SLC9A1;PIK3R5;RXRA;PLN;MAPK1;PLCG1;MAPK3;CREBBP;BAD;STAT1;SLC16A10;MTOR;MED13L;RCAN1;RHEB;RCAN2;CTNNB1;PLCD3;PLCD1;PFKP,KEGG_2016
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100,61/78,1.6401243890996833e-14,6.865092085802958e-13,0,0,2.195848047315126,69.69933340434314,ARPC1B;ARPC1A;CLTC;CLTB;ARPC5L;ILK;CLTA;PIK3CD;CBLB;WASL;PIK3CG;CRKL;SEPT8;SEPT9;SEPT6;RAC1;GAB1;RHOG;SEPT1;SEPT2;DNM1;SEPT3;DNM2;CD2AP;DNM3;ARHGAP10;PIK3CA;CTTN;ELMO1;ELMO2;HCLS1;ITGA5;DOCK1;MET;CRK;VCL;SHC4;SHC2;SHC3;ARHGEF26;SHC1;SRC;PXN;WAS;PIK3R2;PIK3R1;CBL;PIK3R5;CTNNA1;CTNNA3;CTNNA2;WASF1;WASF2;SEPT11;CAV2;CAV1;FN1;PTK2;ARPC2;CTNNB1;BCAR1,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,131/214,1.748334978165943e-14,6.403276857532766e-13,0,0,1.7187969471017277,54.4472374004927,CYFIP2;CHRM2;CYFIP1;NCKAP1;CHRM3;CHRM1;ARPC5L;ARAF;FGF1;FGF2;ARHGAP35;CRKL;MYLK;PPP1CB;PPP1CC;CFL2;CFL1;PIP4K2B;PIP4K2C;PDGFRB;PDGFRA;MAP2K1;MAP2K2;ACTN2;ACTN1;F2R;ACTN4;TIAM1;PFN1;EZR;RAF1;VCL;PFN2;PXN;PIK3R2;PIK3R1;IQGAP1;IQGAP2;PIK3R5;SLC9A1;SCIN;RRAS;PIP5K1A;MYH14;PIP5K1B;PIP5K1C;MYH10;RDX;FN1;MSN;BRAF;GNG12;SSH2;SSH3;PTK2;SSH1;MYLPF;DIAPH1;DIAPH3;FGF14;ARPC2;ITGA11;FGF13;FGFR3;FGF12;FGFR2;FGFR1;ITGB5;ITGB4;ARPC1B;ARPC1A;ITGB2;BRK1;PIK3CD;WASL;ITGAL;PIK3CG;TMSB4X;ITGB8;RAC1;GIT1;VAV3;APC2;ARHGEF12;PPP1R12A;ITGA4;ITGA3;RRAS2;VAV1;VAV2;ENAH;PIK3CA;ARHGEF4;MYH9;ITGA7;ARHGEF1;ITGA5;ARHGEF7;PPP1R12B;SOS1;PPP1R12C;SOS2;DOCK1;CRK;ARHGEF6;ITGA9;ROCK1;ROCK2;SRC;WAS;FGD1;EGFR;FGD3;PAK1;GNA12;MAPK1;PAK3;WASF1;PAK2;WASF2;PAK4;MAPK3;GSN;LIMK2;LIMK1;BAIAP2;PPP1CA;PIKFYVE;ABI2;APC;BCAR1,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,66/87,1.975127026036972e-14,6.430135762542585e-13,0,0,2.1300594964345705,67.21521723705365,GSK3B;CDKN1A;CDKN1B;ARAF;PIK3CD;CBLB;ELK1;PIK3CG;CRKL;MYC;AKT2;AKT3;NCK2;AKT1;NCK1;PRKCG;MAP2K4;MAP2K1;MAP2K2;PRKCB;GAB1;NRG1;PRKCA;PIK3CA;RAF1;SOS1;SOS2;CRK;SHC4;CAMK2B;SHC2;CAMK2D;SHC3;SHC1;SRC;CAMK2A;PIK3R2;PIK3R1;CBL;EGFR;PIK3R5;MAPK9;PAK1;ERBB3;ERBB4;ERBB2;EIF4EBP1;ABL1;ABL2;MAPK1;PLCG1;PAK3;MAP2K7;PAK2;CAMK2G;PAK4;MAPK3;STAT5A;STAT5B;JUN;BAD;BRAF;MTOR;PTK2;RPS6KB1;GRB2,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,106/167,1.907267348951485e-13,5.5882933324278506e-12,0,0,1.7822000250516794,52.19695795366077,ATF2;IRS1;IRS2;SLC8A1;MYLK;SLC8A2;PPP1CB;PPP1CC;EDNRA;EDNRB;AKT2;AKT3;ADORA1;AKT1;GTF2I;MEF2A;GUCY1A2;MAP2K1;MEF2C;MAP2K2;PRKCE;ATP1B4;ATP1B2;ATP1B1;ADCY9;PPIF;VDAC3;VDAC2;VDAC1;RAF1;NPR2;ITPR1;ITPR2;CACNA1D;GATA4;ITPR3;ADRB1;PIK3R2;PIK3R1;CACNA1C;ADRB2;PIK3R5;KCNMB2;VASP;INSR;PDE2A;NFATC3;NFATC2;NFATC1;NFATC4;GNAQ;PDE3A;GTF2IRD1;MRVI1;CALM2;PDE3B;PIK3CD;ATP2A2;ADRA1B;PIK3CG;PPP3CA;PPP3CB;PPP3CC;PRKG2;PRKG1;TRPC6;PPP1R12A;ADRA2A;PLCB3;CREB1;PIK3CA;KCNMA1;PDE5A;SLC25A5;PLCB1;SLC25A4;PLCB2;CREB5;ROCK1;ATF6B;ROCK2;SRF;ATP1A3;ADCY3;ATP1A2;ADCY2;ADCY1;ATP1A1;ADCY8;ADCY6;ADCY5;GNAI2;PLN;GNA12;MAPK1;MEF2D;MAPK3;KCNJ8;BAD;NOS3;ATP2B4;ATP2B3;ATP2B2;ATP2B1;PPP1CA;SLC8A3,KEGG_2016
